route_num,conductor_name,conductor_phnum
1,Ainsley Campos,8857314840
2,Luka Hodge,9054633679
3,Bailey Gibbs,1105109795
4,Shanay Cairns,5793909336
5,Zain Combs,4464214909
6,Max Cope,2434331669
7,Erin Oneill,1615529277
8,Morgan Bannister,5137887650
9,Avi Bouvet,2924573075
10,Mina Weaver,2172012515
11,Drew Knight,4808408131
12,Camden Butler,7577728020
13,Safa Swanson,9669666934
14,Eli Merrill,5612795570
15,Cruz Dunne,1048031747
16,Adrian Welsh,3080075696
17,Anand Irvine,8166839717
18,Ravinder Zhang,9598971804
19,Aden Martinez,5013643843
20,Dillan Davison,5420860100
21,Lorena Burke,6883531516
22,Richard Hammond,5035367795
